eventType,platformGameId,eventTime,gameTime,gameOver,gameName,itemID,participant
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:19.644Z,1364,,109518697661991477|game1,1103,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.276Z,1999,,109518697661991477|game1,2003,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.344Z,2067,,109518697661991477|game1,2033,3
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.413Z,2135,,109518697661991477|game1,1103,2
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.512Z,2235,,109518697661991477|game1,3364,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.748Z,2470,,109518697661991477|game1,3340,3
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.781Z,2504,,109518697661991477|game1,1054,1
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.783Z,2504,,109518697661991477|game1,2003,1
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.882Z,2605,,109518697661991477|game1,3340,2
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.883Z,2605,,109518697661991477|game1,1054,6
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:20.884Z,2605,,109518697661991477|game1,2003,6
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.085Z,2808,,109518697661991477|game1,2003,2
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.120Z,2842,,109518697661991477|game1,1036,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.120Z,2842,,109518697661991477|game1,2003,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.121Z,2842,,109518697661991477|game1,2003,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.121Z,2842,,109518697661991477|game1,2003,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.521Z,3244,,109518697661991477|game1,1056,8
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.856Z,3579,,109518697661991477|game1,2003,8
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:21.923Z,3646,,109518697661991477|game1,3340,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:22.023Z,3746,,109518697661991477|game1,2003,8
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:22.157Z,3880,,109518697661991477|game1,3340,8
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:22.191Z,3914,,109518697661991477|game1,1056,9
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:22.192Z,3914,,109518697661991477|game1,2003,9
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:22.193Z,3914,,109518697661991477|game1,2003,9
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:23.068Z,4790,,109518697661991477|game1,3862,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:23.502Z,5224,,109518697661991477|game1,2003,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:23.669Z,5392,,109518697661991477|game1,2003,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:25.714Z,7437,,109518697661991477|game1,3364,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:28.573Z,10295,,109518697661991477|game1,3850,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:28.574Z,10295,,109518697661991477|game1,2003,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:08:28.575Z,10295,,109518697661991477|game1,2003,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:09:07.751Z,49474,,109518697661991477|game1,3364,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:09:18.346Z,60068,,109518697661991477|game1,3340,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:09:19.492Z,61215,,109518697661991477|game1,3364,2
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:10:50.957Z,152679,,109518697661991477|game1,2031,9
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:25.962Z,187684,,109518697661991477|game1,1001,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:26.768Z,188490,,109518697661991477|game1,2003,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:27.141Z,188863,,109518697661991477|game1,2055,5
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:28.311Z,190033,,109518697661991477|game1,1036,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:28.578Z,190300,,109518697661991477|game1,1042,4
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:39.426Z,201147,,109518697661991477|game1,2055,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:11:39.755Z,201477,,109518697661991477|game1,2031,10
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:12:20.006Z,241728,,109518697661991477|game1,1036,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:12:20.143Z,241865,,109518697661991477|game1,1036,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:12:21.017Z,242738,,109518697661991477|game1,2055,7
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:12:33.978Z,255699,,109518697661991477|game1,3070,3
item_purchased,ESPORTSTMNT01:3294091,2023-01-21T21:12:34.482Z,256204,,109518697661991477|game1,1027,3
